Date,EECI
2019/8/04,7.117185766
2019/8/05,7.117318081
2019/8/06,7.120853372
2019/8/07,7.120678945
2019/8/08,7.124206233
2019/8/09,7.123030037
2019/8/10,7.124030117
2019/8/11,7.121582375
2019/8/12,7.121962978
2019/8/13,7.114861527
2019/8/14,7.112534165
2019/8/15,7.103616223
2019/8/16,7.099757284
2019/8/17,7.091372108
2019/8/18,7.091593152
2019/8/19,7.094670252
2019/8/20,7.097976151
2019/8/21,7.09954991
2019/8/22,7.11063912
2019/8/23,7.119142929
2019/8/24,7.135750865
2019/8/25,7.146108737
2019/8/26,7.167335453
2019/8/27,7.178964266
2019/8/28,7.196966959
2019/8/29,7.205049153
2019/8/30,7.221993132
2019/8/31,7.23088565
2019/9/01,7.239939633
2019/9/02,7.262859153
2019/9/03,7.276308638
2019/9/04,7.30226226
2019/9/05,7.314568013
2019/9/06,7.34103124
2019/9/07,7.354084013
2019/9/08,7.38341375
2019/9/09,7.397613363
2019/9/10,7.411012494
2019/9/11,7.435390246
2019/9/12,7.445700092
2019/9/13,7.46646734
2019/9/14,7.474145999
2019/9/15,7.490736185
2019/9/16,7.500407633
2019/9/17,7.52174893
2019/9/18,7.532984369
2019/9/19,7.544413198
2019/9/20,7.56445758
2019/9/21,7.574213675
2019/9/22,7.58847237
2019/9/23,7.59624845
2019/9/24,7.606581272
2019/9/25,7.609253618
2019/9/26,7.611427022
2019/9/27,7.62591089
2019/9/28,7.632624673
2019/9/29,7.6491183
2019/9/30,7.656780592
2019/10/01,7.665462547
2019/10/02,7.684925456
2019/10/03,7.692934366
2019/10/04,7.713117232
2019/10/05,7.722125135
2019/10/06,7.742494508
2019/10/07,7.75221084
2019/10/08,7.762296293
2019/10/09,7.787731578
2019/10/10,7.801515384
2019/10/11,7.827315262
2019/10/12,7.838283679
2019/10/13,7.851164023
2019/10/14,7.877451058
2019/10/15,7.889566709
2019/10/16,7.915849003
2019/10/17,7.926375298
2019/10/18,7.935673532
2019/10/19,7.956817009
2019/10/20,7.965251589
2019/10/21,7.985924805
2019/10/22,7.994110081
2019/10/23,8.00049606
2019/10/24,8.015543031
2019/10/25,8.019958113
2019/10/26,8.033973754
2019/10/27,8.039720575
2019/10/28,8.044764698
2019/10/29,8.061433232
2019/10/30,8.069145983
2019/10/31,8.07649505
2019/11/01,8.094659327
2019/11/02,8.102809439
2019/11/03,8.12308035
2019/11/04,8.131554564
2019/11/05,8.139787742
2019/11/06,8.159304711
2019/11/07,8.167432249
2019/11/08,8.186694361
2019/11/09,8.195251487
2019/11/10,8.20463377
2019/11/11,8.22497831
2019/11/12,8.232714993
2019/11/13,8.240867615
2019/11/14,8.259613978
2019/11/15,8.26678503
2019/11/16,8.28591589
2019/11/17,8.293764482
2019/11/18,8.301165163
2019/11/19,8.319947444
2019/11/20,8.326245082
2019/11/21,8.330769931
2019/11/22,8.343685419
2019/11/23,8.345461085
2019/11/24,8.346178843
2019/11/25,8.351576641
2019/11/26,8.348993409
2019/11/27,8.353453879
2019/11/28,8.350289108
2019/11/29,8.346113033
2019/11/30,8.347413142
2019/12/01,8.344618773
2019/12/02,8.341817516
2019/12/03,8.346094293
2019/12/04,8.343124193
2019/12/05,8.34013702
2019/12/06,8.342696493
2019/12/07,8.338369835
2019/12/08,8.334169275
2019/12/09,8.336616268
2019/12/10,8.331874087
2019/12/11,8.336071175
2019/12/12,8.334142293
2019/12/13,8.331857294
2019/12/14,8.33780501
2019/12/15,8.334522763
2019/12/16,8.330094897
2019/12/17,8.302123988
2019/12/18,8.26876676
2019/12/19,8.317957379
2019/12/20,8.315822398
2019/12/21,8.308167274
2019/12/22,8.301260643
2019/12/23,8.296544251
2019/12/24,8.285365985
2019/12/25,8.272730379
2019/12/26,8.251318923
2019/12/27,8.227341847
2019/12/28,8.207880342
2019/12/29,8.179428543
2019/12/30,8.158265942
2019/12/31,8.135936908
2020/1/01,8.107113682
2020/1/02,8.085017571
2020/1/03,8.063424534
2020/1/04,8.028726463
2020/1/05,8.004483209
2020/1/06,7.98118358
2020/1/07,7.946284313
2020/1/08,7.923424557
2020/1/09,7.899566399
2020/1/10,7.86901851
2020/1/11,7.850572264
2020/1/12,7.832296682
2020/1/13,7.80350948
2020/1/14,7.789027289
2020/1/15,7.774734732
2020/1/16,7.748545322
2020/1/17,7.732160305
2020/1/18,7.716391075
2020/1/19,7.683212596
2020/1/20,7.66359887
2020/1/21,7.645289307
2020/1/22,7.626635688
2020/1/23,7.587442993
2020/1/24,7.559856214
2020/1/25,7.531959704
2020/1/26,7.481389287
2020/1/27,7.451078089
2020/1/28,7.425113943
2020/1/29,7.377785173
2020/1/30,7.354442216
2020/1/31,7.333650942
2020/2/01,7.292470689
2020/2/02,7.272950708
2020/2/03,7.253974997
2020/2/04,7.234338092
2020/2/05,7.190951814
2020/2/06,7.172059582
2020/2/07,7.157555417
2020/2/08,7.166370911
2020/2/09,7.17566825
2020/2/10,7.166279084
